Date,Open,High,Low,Close,Adj Close,Volume
2018-12-03,251000.000000,259500.000000,248000.000000,258000.000000,253904.765625,82214
2018-12-10,253500.000000,264000.000000,253500.000000,257500.000000,253412.703125,82030
2018-12-17,256000.000000,262000.000000,254000.000000,260000.000000,255873.015625,83111
2018-12-24,260000.000000,260000.000000,245500.000000,254500.000000,250460.312500,48927
2018-12-31,254500.000000,282500.000000,246500.000000,276500.000000,276500.000000,118884
2019-01-07,278000.000000,285000.000000,268000.000000,283000.000000,283000.000000,136997
2019-01-14,284500.000000,290000.000000,279000.000000,281500.000000,281500.000000,104185
2019-01-21,278000.000000,293000.000000,271500.000000,278500.000000,278500.000000,112545
2019-01-28,278500.000000,286000.000000,274500.000000,283000.000000,283000.000000,83374
2019-02-04,283000.000000,285000.000000,277500.000000,281500.000000,281500.000000,21378
2019-02-11,284000.000000,289500.000000,270500.000000,277500.000000,277500.000000,83237
2019-02-18,276500.000000,280500.000000,271500.000000,275000.000000,275000.000000,67810
2019-02-25,277000.000000,278000.000000,269000.000000,269000.000000,269000.000000,52603
2019-03-04,269000.000000,285500.000000,268500.000000,279000.000000,279000.000000,66920
2019-03-11,280000.000000,304000.000000,279500.000000,302000.000000,302000.000000,137089
2019-03-18,302000.000000,304000.000000,291000.000000,299000.000000,299000.000000,62751
2019-03-25,301000.000000,319500.000000,296000.000000,309000.000000,309000.000000,106427
2019-04-01,309000.000000,316500.000000,287000.000000,288000.000000,288000.000000,126587
2019-04-08,290000.000000,293500.000000,285500.000000,293500.000000,293500.000000,89542
2019-04-15,292000.000000,293500.000000,270500.000000,271000.000000,271000.000000,104781
2019-04-22,272000.000000,282500.000000,271500.000000,279500.000000,279500.000000,86039
2019-04-29,280000.000000,282500.000000,272500.000000,277500.000000,277500.000000,58282
2019-05-06,277500.000000,282500.000000,267000.000000,274500.000000,274500.000000,69295
2019-05-13,271000.000000,277500.000000,250500.000000,255500.000000,255500.000000,91853
2019-05-20,257000.000000,257500.000000,246500.000000,252000.000000,252000.000000,89320
2019-05-27,250500.000000,251500.000000,240500.000000,241500.000000,241500.000000,65707
2019-06-03,240000.000000,247000.000000,240000.000000,242500.000000,242500.000000,54518
2019-06-10,243000.000000,255500.000000,243000.000000,254500.000000,254500.000000,69303
2019-06-17,255000.000000,256000.000000,247000.000000,249500.000000,249500.000000,47120
2019-06-24,251500.000000,256500.000000,248000.000000,254000.000000,254000.000000,57979
2019-07-01,255000.000000,257000.000000,246000.000000,254500.000000,254500.000000,39673
2019-07-08,256000.000000,256500.000000,239500.000000,244000.000000,244000.000000,50738
2019-07-15,244000.000000,246000.000000,231000.000000,240000.000000,240000.000000,71564
2019-07-22,238000.000000,247500.000000,235000.000000,237500.000000,237500.000000,40394
2019-07-29,237500.000000,239000.000000,229500.000000,230000.000000,230000.000000,36579
2019-08-05,229000.000000,233500.000000,217000.000000,229500.000000,229500.000000,66257
2019-08-12,226500.000000,231500.000000,220500.000000,222500.000000,222500.000000,45376
2019-08-19,221000.000000,231500.000000,220500.000000,229500.000000,229500.000000,40779
