Category: All categories

Week,Stranger Things: (United States)
2019-01-06,3
2019-01-13,3
2019-01-20,3
2019-01-27,2
2019-02-03,2
2019-02-10,3
2019-02-17,2
2019-02-24,2
2019-03-03,2
2019-03-10,2
2019-03-17,7
2019-03-24,4
2019-03-31,3
2019-04-07,3
2019-04-14,2
2019-04-21,2
2019-04-28,2
2019-05-05,2
2019-05-12,3
2019-05-19,4
2019-05-26,4
2019-06-02,4
2019-06-09,6
2019-06-16,8
2019-06-23,10
2019-06-30,72
2019-07-07,100
2019-07-14,55
2019-07-21,34
2019-07-28,24
2019-08-04,17
2019-08-11,14
2019-08-18,12
2019-08-25,10
2019-09-01,9
2019-09-08,8
2019-09-15,8
2019-09-22,7
2019-09-29,10
2019-10-06,8
2019-10-13,7
2019-10-20,8
2019-10-27,9
2019-11-03,6
2019-11-10,5
2019-11-17,4
2019-11-24,4
2019-12-01,4
2019-12-08,4
2019-12-15,4
2019-12-22,5
2019-12-29,5
